                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5689,                 3.5107,                  1.216,                0.43716,                 0.3753,                0.34362,                0.23082,                 1.0618,                 2.7159,                 0.9431,             0.00019342,             0.00019342,             0.00019342
                      2,                 1.3497,                 1.9925,                 1.0757,                0.50552,                0.58129,                 0.6032,                0.41986,                 1.0685,                 1.7869,                  0.964,             0.00019666,             0.00019666,             0.00019666
